total_dist_move,total_dwell_time,num_temp_checks,num_purges,num_unretract,num_lines_gcode,total_dist_print,num_fan_off,num_retract,num_bytes_gcode,filename,total_length_extruded,num_redundant_lines,num_lines_comment,num_fan_on,num_temp_changes,naive_print_time,total_temp_increment,num_lines_move,total_temp_decrement
464369.2897,0.316,5,3,551,96291,326932.0215,10,553,2710707,gcode/2016/08/17/Part2-Boss-Extrude29_fFaHGhW_reoriented.gcode,8213.403467,11,528,117,5,10920.79717,220,86175,220
547354.0064,0.808,5,3,932,44200,280295.2562,7,934,1123107,gcode/2016/11/18/Z_240-20_reoriented.gcode,12759.99516,10,1022,122,5,8571.372796,220,30822,220
538628.2234,0.263,5,3,1216,120272,431483.8548,7,1218,3364787,gcode/2016/09/20/mighty_kup_1_reoriented_ZGA8FeN.gcode,10344.63654,38,475,1365,5,11132.72997,220,106934,220
417667.9897,0.26,5,3,2095,268161,297351.8931,7,2097,7604339,gcode/2016/09/28/ethanol_e38Ft6C_reoriented.gcode,7224.93781,185,472,1471,5,27995.94489,220,245656,220
142137.2763,0.067,5,3,588,48558,101965.2671,8,590,1371227,gcode/2016/09/20/NVlogo-Whistle-positive-X2_OmfyxCQ_reoriented.gcode,5382.145018,193,281,185,5,4460.818639,220,43378,220
140950.1564,0.067,5,3,588,48551,101965.2671,7,590,1361911,gcode/2016/06/15/NVlogo-Whistle-positive-X2_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
673092.6179,0.409,5,3,985,57916,491480.1866,14,987,1590428,gcode/2016/09/23/brave_trug_reoriented.gcode,22410.29661,166,623,162,5,8261.871556,220,49097,220
174854.1706,0.208,5,3,328,16316,96992.08952,7,330,420875,gcode/2016/11/18/Z_60-20_reoriented.gcode,4965.09752,10,422,107,5,2650.660732,220,12171,220
1225381.396,0.245,5,3,3558,730672,1019517.408,85,3560,20843174,gcode/2016/09/16/LFS_Elephant_reoriented.gcode,24360.54302,250,457,2884,5,59533.45374,220,672379,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/31/NVlogo-Whistle-positive-X2_XoYlNQd_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
759078.0536,0.448,5,3,782,133805,593876.3688,48,784,3730949,gcode/2016/07/18/Baseball_Wall_Holder_reoriented.gcode,28874.69895,330,662,151,5,12527.21168,220,122813,220
242561.7994,0.075,5,3,274,20881,197670.3957,14,276,573309,gcode/2016/11/30/PAE1_X_188_UQHjLvk_reoriented_D8zpRDt.gcode,10043.75111,17,289,29,5,2882.442212,220,18515,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/19/NVlogo-Whistle-positive-X2_e801SQa_reoriented_Tr0iOQ9.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/11/03/NVlogo-Whistle-positive-X2_e801SQa_reoriented_LlO2nCh.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/19/NVlogo-Whistle-positive-X2_e801SQa_reoriented_u50Bygo.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
390383.8547,0.269,5,3,2102,325096,252902.4103,8,2104,9270539,gcode/2016/06/16/MacawLowerJawSTL_reoriented.gcode,7252.593954,871,481,2025,5,20861.41046,220,301722,220
